id,type_loi,numero_loi,texte_legal,texte_fr,explication,exemple,amende,points,peine_min_ans,peine_max_ans,prison_mois,suspension_mois
CR_001,قانون السير,52-05,يُحدد الحد الأقصى للسرعة داخل المناطق العمرانية بـ60 كيلومتر في الساعة. تجاوز هذه السرعة يعد مخالفة مرورية.,La vitesse maximale en agglomération est 60 km/h. Tout dépassement est sanctionné.,تجاوز السرعة المحددة قانونياً يُعرّض السائق لغرامة مالية تتراوح بين 300 و300 درهم وسحب 2 نقاط من رخصة القيادة.,سائق بلغت سرعته 66 كم/س في منطقة سرعتها القصوى 60 كم/س، عوقب بغرامة 300 درهم وسحب 2 نقاط.,300,2,,,,
CR_002,قانون السير,52-05,يُحدد الحد الأقصى للسرعة داخل المناطق العمرانية بـ60 كيلومتر في الساعة. تجاوز هذه السرعة يعد مخالفة مرورية.,La vitesse maximale en agglomération est 60 km/h. Tout dépassement est sanctionné.,تجاوز السرعة المحددة قانونياً يُعرّض السائق لغرامة مالية تتراوح بين 700 و700 درهم وسحب 4 نقاط من رخصة القيادة.,سائق بلغت سرعته 98 كم/س في منطقة سرعتها القصوى 60 كم/س، عوقب بغرامة 700 درهم وسحب 4 نقاط.,700,4,,,,
CR_003,قانون السير,52-05,يُحدد الحد الأقصى للسرعة داخل المناطق العمرانية بـ60 كيلومتر في الساعة. تجاوز هذه السرعة يعد مخالفة مرورية.,La vitesse maximale en agglomération est 60 km/h. Tout dépassement est sanctionné.,تجاوز السرعة المحددة قانونياً يُعرّض السائق لغرامة مالية تتراوح بين 1500 و1500 درهم وسحب 6 نقاط من رخصة القيادة.,سائق بلغت سرعته 112 كم/س في منطقة سرعتها القصوى 60 كم/س، عوقب بغرامة 1500 درهم وسحب 6 نقاط.,1500,6,,,,
CR_004,قانون السير,52-05,يُحدد الحد الأقصى للسرعة داخل الطرق الوطنية خارج المناطق العمرانية بـ100 كيلومتر في الساعة. تجاوز هذه السرعة يعد مخالفة مرورية.,La vitesse maximale en routes nationales hors agglomération est 100 km/h. Tout dépassement est sanctionné.,تجاوز السرعة المحددة قانونياً يُعرّض السائق لغرامة مالية تتراوح بين 300 و300 درهم وسحب 2 نقاط من رخصة القيادة.,سائق بلغت سرعته 105 كم/س في منطقة سرعتها القصوى 100 كم/س، عوقب بغرامة 300 درهم وسحب 2 نقاط.,300,2,,,,
CR_005,قانون السير,52-05,يُحدد الحد الأقصى للسرعة داخل الطرق الوطنية خارج المناطق العمرانية بـ100 كيلومتر في الساعة. تجاوز هذه السرعة يعد مخالفة مرورية.,La vitesse maximale en routes nationales hors agglomération est 100 km/h. Tout dépassement est sanctionné.,تجاوز السرعة المحددة قانونياً يُعرّض السائق لغرامة مالية تتراوح بين 700 و700 درهم وسحب 4 نقاط من رخصة القيادة.,سائق بلغت سرعته 133 كم/س في منطقة سرعتها القصوى 100 كم/س، عوقب بغرامة 700 درهم وسحب 4 نقاط.,700,4,,,,
CR_006,قانون السير,52-05,يُحدد الحد الأقصى للسرعة داخل الطرق الوطنية خارج المناطق العمرانية بـ100 كيلومتر في الساعة. تجاوز هذه السرعة يعد مخالفة مرورية.,La vitesse maximale en routes nationales hors agglomération est 100 km/h. Tout dépassement est sanctionné.,تجاوز السرعة المحددة قانونياً يُعرّض السائق لغرامة مالية تتراوح بين 1500 و1500 درهم وسحب 6 نقاط من رخصة القيادة.,سائق بلغت سرعته 164 كم/س في منطقة سرعتها القصوى 100 كم/س، عوقب بغرامة 1500 درهم وسحب 6 نقاط.,1500,6,,,,
CR_007,قانون السير,52-05,يُحدد الحد الأقصى للسرعة داخل الطرق السريعة بـ120 كيلومتر في الساعة. تجاوز هذه السرعة يعد مخالفة مرورية.,La vitesse maximale en autoroutes est 120 km/h. Tout dépassement est sanctionné.,تجاوز السرعة المحددة قانونياً يُعرّض السائق لغرامة مالية تتراوح بين 300 و300 درهم وسحب 2 نقاط من رخصة القيادة.,سائق بلغت سرعته 129 كم/س في منطقة سرعتها القصوى 120 كم/س، عوقب بغرامة 300 درهم وسحب 2 نقاط.,300,2,,,,
CR_008,قانون السير,52-05,يُحدد الحد الأقصى للسرعة داخل الطرق السريعة بـ120 كيلومتر في الساعة. تجاوز هذه السرعة يعد مخالفة مرورية.,La vitesse maximale en autoroutes est 120 km/h. Tout dépassement est sanctionné.,تجاوز السرعة المحددة قانونياً يُعرّض السائق لغرامة مالية تتراوح بين 700 و700 درهم وسحب 4 نقاط من رخصة القيادة.,سائق بلغت سرعته 145 كم/س في منطقة سرعتها القصوى 120 كم/س، عوقب بغرامة 700 درهم وسحب 4 نقاط.,700,4,,,,
CR_009,قانون السير,52-05,يُحدد الحد الأقصى للسرعة داخل الطرق السريعة بـ120 كيلومتر في الساعة. تجاوز هذه السرعة يعد مخالفة مرورية.,La vitesse maximale en autoroutes est 120 km/h. Tout dépassement est sanctionné.,تجاوز السرعة المحددة قانونياً يُعرّض السائق لغرامة مالية تتراوح بين 1500 و1500 درهم وسحب 6 نقاط من رخصة القيادة.,سائق بلغت سرعته 181 كم/س في منطقة سرعتها القصوى 120 كم/س، عوقب بغرامة 1500 درهم وسحب 6 نقاط.,1500,6,,,,
CR_010,قانون السير,52-05,يُمنع قيادة المركبة تحت تأثير الكحول أو المخدرات. كل من تجاوز نسبة 0.2 غرام/لتر من الكحول في الدم يتعرض لعقوبات قانونية.,"Conduite sous alcool (0.22g/l). Sanction: 2000 DH d'amende, 3 mois de suspension.",القيادة تحت تأثير الكحول بنسبة 0.22 غ/ل تعتبر جريمة جنائية تستوجب 0 أشهر سجن وغرامة 2000 درهم وسحب الرخصة 3 أشهر.,سائق ضُبط بنسبة كحول 0.22 غ/ل، صدر في حقه حكم بـغرامة 2000 درهم وسحب الرخصة 3 أشهر.,2000,0,,,0,3
CR_011,قانون السير,52-05,يُمنع قيادة المركبة تحت تأثير الكحول أو المخدرات. كل من تجاوز نسبة 0.2 غرام/لتر من الكحول في الدم يتعرض لعقوبات قانونية.,"Conduite sous alcool (0.51g/l). Sanction: 5000 DH d'amende, 6 mois de suspension.",القيادة تحت تأثير الكحول بنسبة 0.51 غ/ل تعتبر جريمة جنائية تستوجب 1 أشهر سجن وغرامة 5000 درهم وسحب الرخصة 6 أشهر.,سائق ضُبط بنسبة كحول 0.51 غ/ل، صدر في حقه حكم بـغرامة 5000 درهم وسحب الرخصة 6 أشهر وسجن شهر.,5000,0,,,1,6
CR_012,قانون السير,52-05,يُمنع قيادة المركبة تحت تأثير الكحول أو المخدرات. كل من تجاوز نسبة 0.2 غرام/لتر من الكحول في الدم يتعرض لعقوبات قانونية.,"Conduite sous alcool (0.73g/l). Sanction: 10000 DH d'amende, 12 mois de suspension.",القيادة تحت تأثير الكحول بنسبة 0.73 غ/ل تعتبر جريمة جنائية تستوجب 3 أشهر سجن وغرامة 10000 درهم وسحب الرخصة 12 أشهر.,سائق ضُبط بنسبة كحول 0.73 غ/ل، صدر في حقه حكم بـغرامة 10000 درهم وسحب الرخصة سنة وسجن 3 أشهر.,10000,0,,,3,12
